"","month","serotype","trial","serostatus","N","perc","Y","year"
"97",1,"DENV-4","TAK","SP",1816,100,1816,0.0833333333333333
"98",1,"DENV-4","Placebo","SP",902,88,793.76,0.0833333333333333
"99",1,"DENV-4","TAK","SN",702,100,702,0.0833333333333333
"100",1,"DENV-4","Placebo","SN",345,4.8,16.56,0.0833333333333333
"101",6,"DENV-4","TAK","SP",1816,100,1816,0.5
"102",6,"DENV-4","Placebo","SP",902,88,793.76,0.5
"103",6,"DENV-4","TAK","SN",702,97,680.94,0.5
"104",6,"DENV-4","Placebo","SN",345,6.3,21.735,0.5
"105",12,"DENV-4","TAK","SP",1816,100,1816,1
"106",12,"DENV-4","Placebo","SP",902,89,802.78,1
"107",12,"DENV-4","TAK","SN",702,95,666.9,1
"108",12,"DENV-4","Placebo","SN",345,8,27.6,1
"109",24,"DENV-4","TAK","SP",1816,100,1816,2
"110",24,"DENV-4","Placebo","SP",902,90,811.8,2
"111",24,"DENV-4","TAK","SN",702,94,659.88,2
"112",24,"DENV-4","Placebo","SN",345,13,44.85,2
