"","serostatus","time","D1","D2","D3","D4"
"1","SN","t0",39.4788637043226,119.454026402379,73.4798944168668,79.5947811313863
"2","SN","t1",17.9199860214106,47.2634584852275,41.0501030796111,39.0600777764409
"3","SN","t3",15.1407949664543,39.6720403659867,31.9523955966196,32.4562989677637
"4","SN","t4",22.597582830737,61.67310727522,41.261863515429,47.3279301086634
"5","SP","t0",514.374053071759,723.88796078817,549.54246041899,256.823229970325
"6","SP","t1",404.758801752618,519.577107983413,423.361338664805,191.732956334173
"7","SP","t3",319.253692664499,444.129840517574,376.66104575925,153.107211857774
"8","SP","t4",356.423146266286,476.589620118142,416.756180876951,189.965391166926
