Serotype,Phillippines,Sri Lanka,Thailand,Brazil,Colombia,DR,Nicaragua,Panama,Outcome
D1,31,8,25,12,59,22,0,38,Cum
D2,64,94,48,22,65,0,20,40,Cum
D3,168,99,50,0,0,0,0,0,Cum
D4,181,100,53,0,0,0,0,0,Cum
D1,31,8,25,12,59,22,0,38,Count
D2,33,85,23,10,6,0,20,2,Count
D3,104,5,2,0,0,0,0,0,Count
D4,13,1,3,0,0,0,0,0,Count
All,181,100,53,22,65,22,20,40,Total
All,17,68,20,2,10,4,4,1,Hosp
All,1327,700,966,560,1319,556,270,989,Pop
